Rtype,RegionCode,RegionName,RegionId
federation,Russian Federation,Российская Федерация,0
fregion,RU-BEL,Белгородская область,3100000000000
fregion,RU-BRY,Брянская область,3200000000000
fregion,RU-VLA,Владимирская область,3300000000000
fregion,RU-VOR,Воронежская область,3600000000000
fregion,RU-IVA,Ивановская область,3700000000000
fregion,RU-KLU,Калужская область,4000000000000
fregion,RU-KOS,Костромская область,4400000000000
fregion,RU-KRS,Курская область,4600000000000
fregion,RU-LIP,Липецкая область,4800000000000
fregion,RU-MOW,Москва,7700000000000
fregion,RU-MOS,Московская область,5000000000000
fregion,RU-ORL,Орловская область,5700000000000
fregion,RU-RYA,Рязанская область,6200000000000
fregion,RU-SMO,Смоленская область,6700000000000
fregion,RU-TAM,Тамбовская область,6800000000000
fregion,RU-TVE,Тверская область,6900000000000
fregion,RU-TUL,Тульская область,7100000000000
fregion,RU-YAR,Ярославская область,7600000000000
fdistrict,Central,Центральный округ,0
fregion,RU-KR,Республика Карелия,1000000000000
fregion,RU-KO,Республика Коми,1100000000000
fregion,RU-ARK,Архангельская область,2900000000000
fregion,RU-VLG,Вологодская область,3500000000000
fregion,RU-KGD,Калининградская область,3900000000000
fregion,RU-LEN,Ленинградская область,4700000000000
fregion,RU-SPE,Санкт-Петербург,7800000000000
fregion,RU-MUR,Мурманская область,5100000000000
fregion,RU-NGR,Новгородская область,5300000000000
fregion,RU-PSK,Псковская область,6000000000000
fregion,RU-NEN,Ненецкий Автономный округ,8300000000000
fdistrict,Northwestern,Северо-Западный округ,0
fregion,RU-AD,Республика Адыгея,100000000000
fregion,RU-KL,Республика Калмыкия,800000000000
fregion,RU-KDA,Краснодарский край,2300000000000
fregion,RU-AST,Астраханская область,3000000000000
fregion,RU-VGG,Волгоградская область,3400000000000
fregion,RU-ROS,Ростовская область,6100000000000
fdistrict,Southern,Южный округ,0
fregion,RU-DA,Республика Дагестан,500000000000
fregion,RU-IN,Республика Ингушетия,600000000000
fregion,RU-KB,Кабардино-Балкарская Республика,700000000000
fregion,RU-KC,Карачаево-Черкесская Республика,900000000000
fregion,RU-SE,Республика Северная Осетия,1500000000000
fregion,RU-CE,Чеченская Республика,2000000000000
fregion,RU-STA,Ставропольский край,2600000000000
fdistrict,Northcaucasian,Северо-Кавказский округ,0
fregion,RU-BA,Республика Башкортостан,200000000000
fregion,RU-ME,Республика Марий Эл,1200000000000
fregion,RU-MO,Республика Мордовия,1300000000000
fregion,RU-TA,Республика Татарстан,1600000000000
fregion,RU-UD,Удмуртская Республика,1800000000000
fregion,RU-CU,Чувашская Республика,2100000000000
fregion,RU-PER,Пермский край,5900000000000
fregion,RU-KIR,Кировская область,4300000000000
fregion,RU-NIZ,Нижегородская область,5200000000000
fregion,RU-ORE,Оренбургская область,5600000000000
fregion,RU-PNZ,Пензенская область,5800000000000
fregion,RU-SAM,Самарская область,6300000000000
fregion,RU-SAR,Саратовская область,6400000000000
fregion,RU-ULY,Ульяновская область,7300000000000
fdistrict,Volga,Приволжский округ,0
fregion,RU-KGN,Курганская область,4500000000000
fregion,RU-SVE,Свердловская область,6600000000000
fregion,RU-TYU,Тюменская область,7200000000000
fregion,RU-CHE,Челябинская область,7400000000000
fregion,RU-KHM,Ханты-Мансийский Автономный округ,8600000000000
fregion,RU-YAN,Ямало-Ненецкий Автономный округ,8900000000000
fdistrict,Urals,Уральский округ,0
fregion,RU-AL,Республика Алтай,2200000000000
fregion,RU-BU,Республика Бурятия,300000000000
fregion,RU-TY,Республика Тыва,1700000000000
fregion,RU-KK,Республика Хакасия,1900000000000
fregion,RU-ALT,Алтайский край,2200000000000
fregion,RU-ZAB,Забайкальский край,7500000000000
fregion,RU-KYA,Красноярский край,2400000000000
fregion,RU-IRK,Иркутская область,3800000000000
fregion,RU-KEM,Кемеровская область,4200000000000
fregion,RU-NVS,Новосибирская область,5400000000000
fregion,RU-OMS,Омская область,5500000000000
fregion,RU-TOM,Томская область,7000000000000
fdistrict,Siberia,Сибирский округ,0
fregion,RU-SA,Республика Саха (Якутия),1400000000000
fregion,RU-PRI,Приморский край,2500000000000
fregion,RU-KAM,Камчатский край,4100000000000
fregion,RU-KHA,Хабаровский край,2700000000000
fregion,RU-AMU,Амурская область,2800000000000
fregion,RU-MAG,Магаданская область,4900000000000
fregion,RU-SAK,Сахалинская область,6500000000000
fregion,RU-YEV,Еврейская автономная область,7900000000000
fregion,RU-CHU,Чукотский Автономный округ,8700000000000
fdistrict,Far_Eastern,Дальневосточный округ,0
fregion,RU-CE & RU-IN,Чеченская Республика и Республика Ингушетия,0
